,kategori,P@1,P@2,P@3,P@4,P@5,P@6,P@7,P@8,P@9,P@10
@AfifYulistian,Gaming,1.0,1.0,0.6667,0.5,0.4,0.5,0.4286,0.375,0.4444,0.4
@AlshadAhmad,Animals,0.0,0.5,0.3333,0.25,0.4,0.3333,0.4286,0.375,0.3333,0.3
@Anak.Kuliner,Food,1.0,1.0,1.0,1.0,1.0,0.8333,0.7143,0.75,0.6667,0.6
@AquariusMusikindo,Music,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8889,0.8
@ArisSportTv,Sports,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
@AttaHalilintar,Entertainment,1.0,1.0,0.6667,0.5,0.6,0.6667,0.7143,0.625,0.5556,0.5
@Audrey-A,Animals,0.0,0.5,0.6667,0.5,0.6,0.5,0.4286,0.375,0.3333,0.3
@AutonetMagz,Automotive,1.0,1.0,1.0,1.0,0.8,0.6667,0.7143,0.625,0.5556,0.5
@BeemzAryo,Animals,1.0,0.5,0.6667,0.5,0.4,0.3333,0.2857,0.25,0.2222,0.3
@BimbelBrilian,Education,1.0,1.0,0.6667,0.5,0.4,0.5,0.5714,0.5,0.4444,0.4
@BoengkoesNetwork,Food,1.0,1.0,1.0,1.0,1.0,0.8333,0.7143,0.625,0.5556,0.5
@BrandonKentEverything,Gaming,0.0,0.0,0.0,0.25,0.2,0.1667,0.1429,0.125,0.1111,0.1
@CNBC_ID,News,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,0.7778,0.7
@CNNIDOFFICIAL,News,1.0,0.5,0.6667,0.75,0.6,0.6667,0.5714,0.625,0.5556,0.6
@CoachJustinl28,Sports,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
@DHIARCOM,Gadgets,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,0.7778,0.7
@DKIDchannel,Gadgets,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,0.7778,0.7
@Dewa19,Music,1.0,1.0,1.0,1.0,0.8,0.6667,0.7143,0.75,0.7778,0.7
@DuniaBinatangLiar,Animals,1.0,0.5,0.6667,0.5,0.4,0.5,0.4286,0.5,0.4444,0.4
@Dunia_Alam,Animals,1.0,1.0,0.6667,0.5,0.4,0.3333,0.2857,0.375,0.4444,0.4
@DylandPROS,Gaming,1.0,1.0,0.6667,0.75,0.6,0.5,0.4286,0.375,0.3333,0.3
@FitraEri,Automotive,1.0,0.5,0.6667,0.5,0.6,0.5,0.4286,0.375,0.3333,0.3
@FrontaLGaming,Gaming,1.0,1.0,1.0,0.75,0.6,0.5,0.4286,0.375,0.3333,0.3
@GadgetGaul,Gadgets,1.0,1.0,1.0,1.0,0.8,0.8333,0.7143,0.625,0.6667,0.6
@GadgetIn,Gadgets,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,0.8889,0.8
@GarasiDrift,Automotive,1.0,0.5,0.3333,0.25,0.2,0.1667,0.2857,0.25,0.2222,0.2
@HujanTandaTanya,Education,1.0,1.0,1.0,0.75,0.6,0.5,0.4286,0.375,0.3333,0.3
@IBLTV,Sports,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111,0.1
@JagatReview,Gadgets,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,0.7778,0.7
@JessNoLimit,Gaming,1.0,0.5,0.3333,0.25,0.2,0.3333,0.4286,0.5,0.4444,0.4
@Judika.Entertainment,Music,1.0,1.0,1.0,1.0,0.8,0.6667,0.5714,0.625,0.5556,0.5
@K2G,Gadgets,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,0.8889,0.8
@KUBILER,Food,1.0,1.0,1.0,1.0,1.0,0.8333,0.7143,0.625,0.6667,0.6
@Kenandgrat,Food,1.0,1.0,1.0,1.0,1.0,0.8333,0.7143,0.625,0.5556,0.5
@KokBisa,Education,1.0,1.0,0.6667,0.5,0.4,0.5,0.5714,0.5,0.5556,0.5
@LuckyHakimChannel,Animals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
@MILYHYA,Gaming,0.0,0.5,0.3333,0.25,0.4,0.5,0.5714,0.5,0.4444,0.4
@MNCTV_Sports,Sports,1.0,1.0,1.0,0.75,0.6,0.5,0.4286,0.5,0.5556,0.5
@MajelisLucu,Entertainment,1.0,1.0,0.6667,0.5,0.4,0.3333,0.2857,0.375,0.3333,0.4
@MalakaProjectid,Education,1.0,1.0,0.6667,0.5,0.4,0.5,0.5714,0.5,0.4444,0.4
@MamankKuliner,Food,1.0,1.0,1.0,1.0,1.0,0.8333,0.7143,0.75,0.6667,0.6
@Mas-Wahid,Automotive,0.0,0.0,0.0,0.0,0.0,0.0,0.1429,0.125,0.1111,0.1
@Melkibajaj,Food,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
@Miawaug,Gaming,1.0,1.0,1.0,0.75,0.6,0.6667,0.5714,0.5,0.4444,0.4
@MusicaStudios,Music,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9
@NagaswaraOfficial,Music,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8889,0.9
@NarasiNewsroom,News,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
@NexCarlos,Food,1.0,1.0,0.6667,0.75,0.8,0.8333,0.7143,0.625,0.5556,0.5
@OTOMOTIFTV,Automotive,1.0,1.0,0.6667,0.5,0.4,0.3333,0.4286,0.375,0.3333,0.3
@OfficialNoahMusic,Music,1.0,1.0,1.0,1.0,0.8,0.8333,0.8571,0.75,0.7778,0.7
@OfficialiNews,News,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,0.7778,0.7
@Otodriver,Automotive,1.0,1.0,0.6667,0.75,0.8,0.8333,0.7143,0.625,0.5556,0.5
