,@AfifYulistian,@AlshadAhmad,@Anak.Kuliner,@AquariusMusikindo,@ArisSportTv,@AttaHalilintar,@Audrey-A,@AutonetMagz,@BeemzAryo,@BimbelBrilian,@BoengkoesNetwork,@BrandonKentEverything,@CNBC_ID,@CNNIDOFFICIAL,@CoachJustinl28,@DHIARCOM,@DKIDchannel,@Dewa19,@DuniaBinatangLiar,@Dunia_Alam,@DylandPROS,@FitraEri,@FrontaLGaming,@GadgetGaul,@GadgetIn,@GarasiDrift,@HujanTandaTanya,@IBLTV,@JagatReview,@JessNoLimit,@Judika.Entertainment,@K2G,@KUBILER,@Kenandgrat,@KokBisa,@LuckyHakimChannel,@MILYHYA,@MNCTV_Sports,@MajelisLucu,@MalakaProjectid,@MamankKuliner,@Mas-Wahid,@Melkibajaj,@Miawaug,@MusicaStudios,@NagaswaraOfficial,@NarasiNewsroom,@NexCarlos,@OTOMOTIFTV,@OfficialNoahMusic,@OfficialiNews,@Otodriver,@PANJIPETUALANG_REAL,@PSSITV,@PricebookIndonesia,@RCTISports,@RansEntertainment,@SPOTV.Indonesia,@SPROSULEPRODUCTIONS,@SatuPersenIndonesianLifeschool,@SiKutuBuku,@Sobat_HAPE,@SportsChannelIndonesia,@TirtaPengPengPeng,@TrinityOptimaProduction,@VINDES,@WindahBasudara,@YoutuberCupu,@ZeniusEducation,@ZonaJuaraSports,@amarpdchannel,@ariefmuhammaddd,@carmudiID,@corbuzier,@deHakims,@deHakimsAviaryIrfanHakim,@dennycaknan6996,@farida.nurhan,@felicia.tjiasaka,@indomusikgram,@iwanbanaranblog,@kompastv,@letdahyper,@liputan6_news,@metrotvnews,@motomobitv,@nihongomantappu,@officialbaliunited,@projectreview,@radityadika,@raisa6690,@riasukmawijaya,@ridwanhr,@rrq_lemon,@tanboykun,@taulany_tv,@tempovideochannel,@tribunnews,@tvOneNews,@ybrap
@AfifYulistian,1.0000002,0.95564735,0.95228386,0.9333646,0.9063337,0.9381031,0.9226881,0.95550436,0.95869243,0.88435245,0.93434423,0.87628937,0.9089381,0.92129874,0.9333278,0.93455744,0.94121516,0.92522925,0.9555065,0.94288903,0.95775807,0.9510902,0.9548813,0.94723505,0.9581811,0.9640564,0.963323,0.9181602,0.9253802,0.9288701,0.93300354,0.95096695,0.94382775,0.9418676,0.9160218,0.96311903,0.96956044,0.81317097,0.9587027,0.93848026,0.9284735,0.93388206,0.96067584,0.9860114,0.91191924,0.92079175,0.96005607,0.9318612,0.9244619,0.9297918,0.895388,0.94523567,0.93889844,0.9481344,0.9379159,0.7388339,0.95051295,0.8832103,0.9182296,0.9501132,0.94207823,0.9564483,0.8779736,0.93383455,0.93446016,0.9513235,0.96254534,0.94822,0.9511534,0.835311,0.9148141,0.95509934,0.9199085,0.9458295,0.95396125,0.9474329,0.9255389,0.9335677,0.938047,0.96051955,0.924516,0.8925065,0.9603505,0.85255206,0.9327835,0.95630527,0.9562788,0.89330876,0.9498867,0.93629086,0.9210509,0.93549466,0.9565219,0.90441316,0.9536315,0.92991745,0.90979266,0.902955,0.92395353,0.8953855
@AlshadAhmad,0.95564735,0.99999994,0.96451974,0.9223816,0.9439554,0.962386,0.9652803,0.9446236,0.97521114,0.8964262,0.95113707,0.90134084,0.9286182,0.9224766,0.9504841,0.9520631,0.9572787,0.9216113,0.958137,0.94437456,0.9667966,0.95558107,0.9674051,0.93216676,0.9553533,0.96585524,0.97083056,0.9166261,0.9462831,0.9280369,0.929055,0.95103455,0.9662312,0.9504898,0.91163373,0.96802294,0.9607146,0.81629074,0.9644361,0.92041373,0.9499924,0.968279,0.96353614,0.9614358,0.9040733,0.90462136,0.96712065,0.93765837,0.9345281,0.92280376,0.9104602,0.93417054,0.9693321,0.92286026,0.9547173,0.74037015,0.96317714,0.8967451,0.944327,0.949852,0.96170235,0.9544055,0.8769745,0.9575703,0.9277412,0.96501863,0.96706533,0.93557644,0.95986545,0.8297105,0.960539,0.95710796,0.949581,0.9650357,0.95802116,0.9571421,0.92488027,0.9708638,0.957278,0.96726656,0.92933595,0.9201328,0.97549534,0.88672984,0.95647395,0.95442426,0.96645,0.9080851,0.94723797,0.92305624,0.90649456,0.91858494,0.95693195,0.9230038,0.94813144,0.94686705,0.9244657,0.9228208,0.9386749,0.91180134
@Anak.Kuliner,0.95228386,0.96451974,1.0000001,0.91154027,0.9166394,0.9565559,0.93215275,0.9432558,0.9505775,0.88535655,0.97938764,0.8889018,0.9253992,0.9211296,0.9452901,0.9543387,0.95828104,0.9129119,0.9355545,0.93956715,0.96576726,0.9595121,0.9629483,0.9310323,0.9582739,0.9528943,0.95799816,0.9071561,0.94442344,0.91397256,0.92370814,0.95410895,0.9851047,0.98231256,0.9170505,0.9684342,0.9557172,0.7998592,0.9634642,0.9230987,0.9838339,0.93449926,0.95457876,0.9560069,0.8983263,0.9055064,0.951912,0.96993244,0.93095183,0.91022485,0.9083712,0.93277144,0.93701637,0.9208119,0.9570577,0.729826,0.9695156,0.88521636,0.951794,0.94974256,0.9505835,0.96152824,0.8660846,0.95043844,0.91543317,0.9688999,0.9605268,0.94069743,0.95038855,0.810972,0.9184115,0.95750266,0.94308704,0.9711168,0.96606064,0.96124554,0.9335935,0.9482267,0.9459883,0.96064526,0.9447808,0.916121,0.966487,0.8785027,0.94538844,0.956514,0.97354686,0.89626783,0.9500861,0.9224802,0.89502794,0.918437,0.95339835,0.91521156,0.98059654,0.9589163,0.9208435,0.9268832,0.9369771,0.9071294
@AquariusMusikindo,0.9333646,0.9223816,0.91154027,1.0000001,0.9099606,0.92882955,0.918607,0.9316524,0.940537,0.8169441,0.8838264,0.8948523,0.8590868,0.86323214,0.92676115,0.9301978,0.9176755,0.946593,0.92802334,0.9047601,0.9268341,0.9190507,0.94470346,0.9232739,0.9340117,0.95386213,0.9185175,0.93766326,0.90925837,0.94125104,0.9630033,0.938249,0.89790523,0.8899727,0.86466813,0.9417889,0.95148546,0.84868944,0.940884,0.8899907,0.8899454,0.91738665,0.92584574,0.94186604,0.97201324,0.9737273,0.93237,0.8793353,0.9202663,0.9619275,0.86194944,0.92911696,0.9245113,0.91820735,0.9164779,0.78220725,0.91127026,0.90189767,0.88910824,0.89511377,0.90528464,0.9348216,0.9072267,0.8999502,0.9851254,0.9313306,0.94429034,0.93448555,0.92394257,0.8578726,0.89031,0.9192445,0.8739431,0.92168814,0.9073624,0.88818896,0.9541793,0.92438436,0.9039718,0.95964414,0.90360224,0.8462049,0.9389796,0.81359553,0.90859103,0.94153094,0.9361272,0.8972858,0.9211081,0.91678953,0.96655643,0.9113221,0.91965294,0.91106355,0.9216928,0.8981197,0.8548756,0.8479947,0.89039433,0.9117099
@ArisSportTv,0.9063337,0.9439554,0.9166394,0.9099606,0.99999994,0.9334651,0.95985997,0.8999697,0.9360041,0.8124076,0.885955,0.9117762,0.8634957,0.8425908,0.9344653,0.9286353,0.91626513,0.9173802,0.8987211,0.8844349,0.9222168,0.90566957,0.9474387,0.887163,0.91035616,0.9399657,0.9020151,0.93803215,0.914467,0.90974736,0.8986993,0.92299026,0.91130924,0.88260067,0.8309407,0.92415035,0.9289471,0.870609,0.9200548,0.8461585,0.9026237,0.95164937,0.9182688,0.90998685,0.90415853,0.89640796,0.92838436,0.862129,0.9264948,0.91582084,0.8738688,0.89464605,0.9571843,0.89969504,0.9202182,0.819373,0.9032899,0.91636515,0.9088722,0.87442017,0.896841,0.921456,0.8857164,0.9068587,0.91303444,0.9260175,0.92823297,0.90015864,0.91885436,0.8775563,0.9504523,0.8933593,0.8909004,0.9284735,0.8881478,0.881206,0.9159472,0.9592339,0.9037491,0.9405601,0.90625226,0.8612826,0.9475809,0.82236123,0.91192365,0.9165735,0.9308191,0.9376546,0.8960553,0.86735564,0.89990866,0.8718609,0.90546817,0.9089451,0.90130854,0.8942553,0.85940737,0.86091554,0.8828521,0.9036406
@AttaHalilintar,0.9381031,0.962386,0.9565559,0.92882955,0.9334651,1.0000002,0.9472425,0.9381472,0.94327354,0.8679429,0.9440777,0.91365355,0.9164376,0.89635533,0.94802594,0.9619614,0.9603939,0.9335509,0.9176469,0.9191561,0.9595475,0.95239836,0.9558331,0.9235718,0.94912773,0.95602286,0.94195664,0.9240136,0.9519819,0.9149877,0.934621,0.9500276,0.9546746,0.9484066,0.878173,0.9621238,0.95457006,0.82175034,0.95911777,0.8908972,0.9516461,0.93922514,0.94285756,0.94522303,0.9263641,0.92004883,0.9441081,0.9242463,0.92971,0.916914,0.9147793,0.9324868,0.94387007,0.9058707,0.9608217,0.7608143,0.97082114,0.9069128,0.97020024,0.9247202,0.92881036,0.9557061,0.875084,0.9502435,0.93655777,0.97600496,0.9565214,0.9329447,0.9475677,0.83078563,0.9183325,0.9441799,0.93334126,0.9773309,0.9480611,0.94528896,0.9410376,0.9516957,0.9294792,0.970998,0.9457698,0.9155265,0.9617468,0.87336516,0.94372106,0.9542656,0.9720296,0.90607035,0.94369805,0.9101305,0.90211236,0.9029879,0.94313425,0.92646205,0.94384277,0.96260554,0.90471977,0.9238693,0.9274883,0.9222963
@Audrey-A,0.9226881,0.9652803,0.93215275,0.918607,0.95985997,0.9472425,1.0000004,0.9104905,0.95052767,0.8420006,0.9009185,0.91494375,0.87047225,0.8469048,0.92222494,0.9420932,0.9323852,0.9237206,0.91380376,0.91491413,0.92878103,0.90462947,0.94617486,0.9037876,0.9286506,0.95645165,0.92292833,0.9298531,0.9370183,0.9331579,0.9057792,0.93158376,0.9283454,0.8980645,0.8335928,0.94420314,0.9469804,0.86270976,0.9242028,0.8495892,0.91117924,0.96980363,0.93746024,0.93515503,0.91691226,0.89948404,0.9431022,0.87369514,0.9472407,0.922374,0.8704324,0.9025815,0.98296154,0.8941928,0.94300365,0.7756365,0.9118612,0.90165895,0.91098154,0.8853277,0.91039795,0.93491995,0.8694655,0.92234695,0.9164896,0.9279326,0.94374025,0.90277076,0.9369707,0.8705069,0.9763732,0.89697415,0.90118366,0.9361362,0.89949363,0.8998058,0.92724144,0.98497665,0.9132719,0.9533262,0.9064654,0.8650342,0.9570483,0.81555945,0.917855,0.9295195,0.95303315,0.90191275,0.9169798,0.8649633,0.8981835,0.87131757,0.9086188,0.93872106,0.91911834,0.89422774,0.8581606,0.86515,0.8881942,0.91723835
@AutonetMagz,0.95550436,0.9446236,0.9432558,0.9316524,0.8999697,0.9381472,0.9104905,1.0000001,0.94233114,0.8903133,0.9304404,0.89744294,0.92868644,0.93233156,0.9487909,0.9557084,0.9683424,0.92074823,0.9482388,0.93314695,0.9561832,0.97656655,0.94928825,0.96850157,0.9700724,0.97059536,0.9516493,0.91597164,0.95212936,0.92705774,0.9301045,0.96911585,0.9412472,0.93682384,0.9197136,0.9590626,0.95715225,0.82642806,0.9604471,0.9417538,0.9250448,0.9341761,0.94503546,0.95453495,0.9168104,0.9189669,0.9513122,0.93273216,0.94320166,0.9281744,0.90621394,0.98858315,0.9197693,0.9487978,0.9578629,0.7572425,0.95143926,0.92327577,0.919861,0.9496534,0.9363538,0.9710234,0.91026735,0.9380933,0.93402797,0.95152533,0.9562284,0.9749519,0.94650054,0.83930254,0.8943459,0.9649819,0.9458287,0.9446188,0.949426,0.93694484,0.9315917,0.91847575,0.94303876,0.95139074,0.96251786,0.9080086,0.9508672,0.87702435,0.94647324,0.98634577,0.94820976,0.90724707,0.96463215,0.9411888,0.91664505,0.9409123,0.97669566,0.8932464,0.9431592,0.9308058,0.92306495,0.911717,0.9362108,0.9002633
@BeemzAryo,0.95869243,0.97521114,0.9505775,0.940537,0.9360041,0.94327354,0.95052767,0.94233114,1.0000002,0.8664746,0.92265415,0.8994506,0.8915756,0.8988852,0.9392408,0.9360569,0.93604803,0.926263,0.9705888,0.93491656,0.95528376,0.9433717,0.97188437,0.9301313,0.9464416,0.96724176,0.96753937,0.9164567,0.9191922,0.92716634,0.9368825,0.94868076,0.94140434,0.9280983,0.9085103,0.9645573,0.95869756,0.81598175,0.9535335,0.9205689,0.9258998,0.9680108,0.9656663,0.9602687,0.91956455,0.92357326,0.95544314,0.9208671,0.92550266,0.94790006,0.8733856,0.93334275,0.9668709,0.9244299,0.92965484,0.7402179,0.94300926,0.88965166,0.91278046,0.9440415,0.9586284,0.9487968,0.890356,0.92739695,0.94643146,0.94530225,0.96088904,0.94035685,0.94705546,0.82922506,0.958171,0.95204186,0.92397106,0.94301856,0.9475025,0.9386735,0.9269887,0.96765816,0.95129883,0.96754324,0.91168094,0.8779886,0.9694202,0.8485918,0.92864317,0.9496385,0.94927824,0.90766317,0.9335335,0.9313519,0.93608665,0.9297979,0.94547737,0.9118179,0.93796515,0.92476463,0.8912411,0.8823719,0.9109476,0.9084138
@BimbelBrilian,0.88435245,0.8964262,0.88535655,0.8169441,0.8124076,0.8679429,0.8420006,0.8903133,0.8664746,0.9999998,0.9007708,0.796701,0.92359614,0.9223342,0.87484276,0.870682,0.9019883,0.8151539,0.8876269,0.89450926,0.90162116,0.9073328,0.8770242,0.8870512,0.8948064,0.86987114,0.92563903,0.8046442,0.884683,0.840649,0.8492013,0.8850778,0.90149313,0.90125155,0.9133049,0.89276356,0.8833083,0.7035974,0.8991264,0.911806,0.88561714,0.8528697,0.8854445,0.8717718,0.7945398,0.80279744,0.9032248,0.90160215,0.8323593,0.8029113,0.8776976,0.8743966,0.84205973,0.87382746,0.8906012,0.61458254,0.90372086,0.814096,0.86346996,0.9279443,0.9183525,0.8864194,0.8048307,0.90680254,0.8244766,0.89464176,0.88859546,0.8836827,0.90484965,0.72263694,0.8281285,0.91427827,0.9083533,0.8940978,0.90959185,0.9115279,0.82124007,0.83545804,0.9217098,0.8660204,0.8578733,0.9135114,0.8777729,0.88468635,0.9089658,0.8865204,0.8761754,0.82471573,0.9009219,0.8877615,0.7948086,0.86956096,0.8958997,0.8012512,0.87404513,0.88570166,0.92438745,0.9152266,0.90773517,0.8018142
